longitude,latitude,Name,heritageno
138.6066154,-34.90551968,102-120 Stanley Street NORTH ADELAIDE,1471
138.5937958,-34.90604645,166-176 Tynte Street NORTH ADELAIDE,1413
138.6065624,-34.90554801,102-120 Stanley Street NORTH ADELAIDE,1471
138.5951715,-34.90594704,134-140 Tynte Street NORTH ADELAIDE,1649
138.7488441,-34.21280146,NAVAN VIA RIVERTON,14466
138.8083778,-35.1375102,Lot 757 & 769 Aldgate-Strathalbyn Road FLAXLEY,26121
138.8084546,-35.13739392,Lot 757 & 769 Aldgate-Strathalbyn Road FLAXLEY,26121
138.5917879,-34.93411906,20 Little Gilbert Street ADELAIDE,1682
138.607534,-34.93379853,188 Gilles Street ADELAIDE,1500
138.5905731,-34.93429591,10 Maxwell Street ADELAIDE,1516
138.6167865,-34.93363851,263-267 East Terrace ADELAIDE,1481
138.6172935,-34.93373464,263-267 East Terrace ADELAIDE,1481
138.8440195,-34.98393535,Onkpararinga Valley Road OAKBANK,20674
138.6044965,-34.93431564,111 Gilles Street ADELAIDE,1506
138.6154989,-34.93426309,360 South Terrace ADELAIDE,1675
138.6015583,-34.93476489,55 Symonds Place ADELAIDE,1509
138.6156095,-34.93450526,360 South Terrace ADELAIDE,1675
138.6154516,-34.93437011,360 South Terrace ADELAIDE,1675
138.6155074,-34.93440837,360 South Terrace ADELAIDE,1675
138.6168802,-34.93455399,378 South Terrace ADELAIDE,1484
138.5465841,-35.16908392,Chaffeys Road MCLAREN VALE,5243
138.6187695,-34.94423765,27-31 Young Street PARKSIDE,3779
138.6162245,-34.94440962,61 Young Street PARKSIDE,3780
138.5931457,-34.94557898,305 Young Street WAYVILLE,3781
138.5924133,-34.94572848,307 Young Street WAYVILLE,3782
138.6527929,-34.71906965,Taranaki Road EDINBURGH,21954
138.6533331,-34.71889102,Taranaki Road EDINBURGH,21954
138.6531474,-34.71909822,Taranaki Road EDINBURGH,21954
138.6532255,-34.71910886,Taranaki Road EDINBURGH,21954
138.6536096,-34.71900514,Taranaki Road EDINBURGH,21954
138.6539458,-34.71915287,Taranaki Road EDINBURGH,21954
138.6537601,-34.71936007,Taranaki Road EDINBURGH,21954
138.6538383,-34.71937392,Taranaki Road EDINBURGH,21954
138.6542341,-34.71926987,Taranaki Road EDINBURGH,21954
138.6292318,-34.72547471,10 Sturton Road EDINBURGH,21955
138.629093,-34.72569141,10 Sturton Road EDINBURGH,21955
138.6289692,-34.72589677,10 Sturton Road EDINBURGH,21955
138.62897,-34.72613324,10 Sturton Road EDINBURGH,21955
138.5894159,-34.95067423,"126, 128 & 128A Goodwood Road GOODWOOD",3768
138.6290542,-34.72669398,10 Sturton Road EDINBURGH,21955
