id,Record URL,XML,Name,Title,Publication,Description,Summary,Subject,Image,Series
b20602637,http://www.catalog.slsa.sa.gov.au/record=b2060263,http://www.catalog.slsa.sa.gov.au/xrecord=b2060263,"State Library of South Australia, photographer",Morney Street,1955,Photograph  14.3 cm x 8.3 cm,"Morney Street, east side, 17 January 1955. Right side of cottages is 37 1/4 yards north of Grote Street. Frontage of two cottages is 20 yards",,http://images.slsa.sa.gov.au/mpcimg/13250/B13149.jpg,316
b20602534,http://www.catalog.slsa.sa.gov.au/record=b2060253,http://www.catalog.slsa.sa.gov.au/xrecord=b2060253,"State Library of South Australia, photographer",Grote Street,1954,Photograph  14.3 cm x 8.3 cm,"Grote Street, north side, 7 June 1954. Right side of Foggitt Jones building abuts west side of Byron Place. Frontage of building is 31 yards",,http://images.slsa.sa.gov.au/mpcimg/13250/B13068.jpg,315
b20602546,http://www.catalog.slsa.sa.gov.au/record=b2060254,http://www.catalog.slsa.sa.gov.au/xrecord=b2060254,"State Library of South Australia, photographer",Byron Place,1954,Photograph  14.3 cm x 8.3 cm,"Byron Place, east side, 15 November 1954. Right side of building is 40 yards north of Grote Street. Frontage: 30 yards",,http://images.slsa.sa.gov.au/mpcimg/13250/B13152.jpg,315
b20602558,http://www.catalog.slsa.sa.gov.au/record=b2060255,http://www.catalog.slsa.sa.gov.au/xrecord=b2060255,"State Library of South Australia, photographer",Byron Place,1954,Photograph  14.3 cm x 8.3 cm,"Byron Place, east side, 15 November 1954. Depth of the building is 12 3/4 yards, Right side is 40 yards north of Grote Street. Frontage: 30 yards",,http://images.slsa.sa.gov.au/mpcimg/13250/B13153.jpg,315
b2060256x,http://www.catalog.slsa.sa.gov.au/record=b2060256,http://www.catalog.slsa.sa.gov.au/xrecord=b2060256,"State Library of South Australia, photographer",Grote Street,1966,Photograph  21 cm x 16 cm,"Grote Street, north side. Right side abuts Byron Place",,http://images.slsa.sa.gov.au/mpcimg/17000/B16820.jpg,315
b20602571,http://www.catalog.slsa.sa.gov.au/record=b2060257,http://www.catalog.slsa.sa.gov.au/xrecord=b2060257,"State Library of South Australia, photographer",Grote Street,1966,Photograph  21 cm x 16 cm,"Grote Street, north side. Right side of site abuts Byron Place",,http://images.slsa.sa.gov.au/mpcimg/17000/B16821.jpg,315
b20602583,http://www.catalog.slsa.sa.gov.au/record=b2060258,http://www.catalog.slsa.sa.gov.au/xrecord=b2060258,"State Library of South Australia, photographer","Byron Place, West Side",1973,Photograph  21.7 cm x 13.3 cm,"Byron Place, west side, 21st December 1973. South side of the building is 36 1/3 yards north of Grote Street. Byron Place frontage is 35 yards",,http://images.slsa.sa.gov.au/mpcimg/28750/B28734.jpg,315
b20602455,http://www.catalog.slsa.sa.gov.au/record=b2060245,http://www.catalog.slsa.sa.gov.au/xrecord=b2060245,"State Library of South Australia, photographer",Grote Street,1956,Photograph  13.9 cm x 8.6 cm,"Grote Street, north side, 31 January 1956. Left side of Gerrard's building, completed in 1945, abuts east side of Oakley Place. Frontage: 10 yards",,http://images.slsa.sa.gov.au/mpcimg/13750/B13605.jpg,314
b20602467,http://www.catalog.slsa.sa.gov.au/record=b2060246,http://www.catalog.slsa.sa.gov.au/xrecord=b2060246,"State Library of South Australia, photographer",Grote Street,1960,Photograph  14.1 cm x 8.0 cm,"Grote Street, north side, 26 May 1960. Left side of Dominion Motors' building is 45 yards east of Byron Place. Frontage: 17 yards",,http://images.slsa.sa.gov.au/mpcimg/14500/B14307.jpg,314
b20602479,http://www.catalog.slsa.sa.gov.au/record=b2060247,http://www.catalog.slsa.sa.gov.au/xrecord=b2060247,"State Library of South Australia, photographer","Grote Street, North Side",1980,photograph,"Grote Street, north side, 5 May 1980. Left side of building abuts Oakley Place. Frontage on Oakley Place is 33 1/3 yards  Grote Street frontage: 16 2/3 yards",,http://images.slsa.sa.gov.au/mpcimg/38500/B38286.jpg,314
